date,cases,Cases (Forecast),Subregion,ISO Country Code,Date Forecast
2020-02-16,18.0,,Zamboanga del Sur,PHL,2021-01-10
2020-02-23,27.0,,Zamboanga del Sur,PHL,2021-01-10
2020-03-01,16.0,,Zamboanga del Sur,PHL,2021-01-10
2020-03-08,13.0,,Zamboanga del Sur,PHL,2021-01-10
2020-03-15,11.0,,Zamboanga del Sur,PHL,2021-01-10
2020-03-22,15.0,,Zamboanga del Sur,PHL,2021-01-10
2020-03-29,4.0,,Zamboanga del Sur,PHL,2021-01-10
2020-04-05,8.0,,Zamboanga del Sur,PHL,2021-01-10
2020-04-12,2.0,,Zamboanga del Sur,PHL,2021-01-10
2020-04-19,5.0,,Zamboanga del Sur,PHL,2021-01-10
2020-04-26,13.0,,Zamboanga del Sur,PHL,2021-01-10
2020-05-03,9.0,,Zamboanga del Sur,PHL,2021-01-10
2020-05-10,11.0,,Zamboanga del Sur,PHL,2021-01-10
2020-05-17,13.0,,Zamboanga del Sur,PHL,2021-01-10
2020-05-24,15.0,,Zamboanga del Sur,PHL,2021-01-10
2020-05-31,16.0,,Zamboanga del Sur,PHL,2021-01-10
2020-06-07,4.0,,Zamboanga del Sur,PHL,2021-01-10
2020-06-14,13.0,,Zamboanga del Sur,PHL,2021-01-10
2020-06-21,14.0,,Zamboanga del Sur,PHL,2021-01-10
2020-06-28,11.0,,Zamboanga del Sur,PHL,2021-01-10
2020-07-05,14.0,,Zamboanga del Sur,PHL,2021-01-10
2020-07-12,11.0,,Zamboanga del Sur,PHL,2021-01-10
2020-07-19,10.0,,Zamboanga del Sur,PHL,2021-01-10
2020-07-26,10.0,,Zamboanga del Sur,PHL,2021-01-10
2020-08-02,5.0,,Zamboanga del Sur,PHL,2021-01-10
2020-08-09,9.0,,Zamboanga del Sur,PHL,2021-01-10
2020-08-16,13.0,,Zamboanga del Sur,PHL,2021-01-10
2020-08-23,6.0,,Zamboanga del Sur,PHL,2021-01-10
2020-08-30,8.0,,Zamboanga del Sur,PHL,2021-01-10
2020-09-06,8.0,,Zamboanga del Sur,PHL,2021-01-10
2020-09-13,3.0,,Zamboanga del Sur,PHL,2021-01-10
2020-09-20,2.0,,Zamboanga del Sur,PHL,2021-01-10
2020-09-27,5.0,,Zamboanga del Sur,PHL,2021-01-10
